Unnamed: 0,Unnamed: 1,Unnamed: 2,31.12.2022,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,Fair Value del,Variazione del
,,,,,,,,,,,,,,derivato,Fair Value
(migliaia di euro),,,,,,,,,,,,,,,
ContropartePrestiti obbligazionari,(1.698.107),(266.357),(21.750) (565.250),(844.750),,,,,,,,,,,
Finanziamenti a medio-lungo termine6,(713.222),(51.581),(51.240) (339.948),(270.453),,,,,,,,,,,
,,,,,,,,I,,,,Riceve un tasso,,(1.042) (12.078),227 10.809
Derivati con fair value positivo,63.532,4.076,10.019 20.819,28.618,"Mediobanca,",,,,,,,fisso in gbp del,,,
,,,,,UniCredit,CCS,CF,C,2.2013,2.2023,325.019,"5,441% paga un",Classe A4,(82.610) (69.152),(13.458) 0
Derivati con fair value negativo7,(83.952),(83.952),0 0,0,,,,Totale,,,,"tasso fisso in Eur del 6,4%",,(83.652) (81.230),(13.231) 10.809
TOTALE,(2.431.749),(397.814),(62.971) (884.379),(1.086.585),,,,,,,,,,,
