Movimenti,n.,254.820,151.191,362.036,"68,5%","(29,6%)"
Fiumicino,n.,212.503,113.972,309.783,"86,5%","(31,4%)"
Ciampino,n.,42.317,37.219,52.253,"13,7%","(19,0%)"
Passeggeri,n.,32.836.515,13.988.955,49.412.069,"134,7%","(33,5%)"
Fiumicino,n.,29.360.613,11.662.842,43.532.573,"151,7%","(32,6%)"
Ciampino,n.,3.475.902,2.326.113,5.879.496,"49,4%","(40,9%)"
Di cui: imbarcati,n.,16.324.341,6.922.911,24.615.046,"135,8%","(33,7%)"
Fiumicino,n.,14.579.140,5.760.634,21.664.400,"153,1%","(32,7%)"
Ciampino,n.,1.745.201,1.162.277,2.950.646,"50,2%","(40,9%)"
Merci,ton,149.168,111.254,204.900,"34,1%","(27,2%)"
Fiumicino,ton,134.456,95.096,186.492,"41,4%","(27,9%)"
Ciampino,ton,14.712,16.158,18.408,"(9,0%)","(20,1%)"
