Migliaia di euro,2022,2021,Delta,Delta %,"Il margine operativo lordo (EBITDA) risulta pari a 274,9",Unnamed: 0,Unnamed: 1
,,,,,"milioni di euro, in aumento di 26,6 milioni di euro rispet-",,
Ricavi da gestione aeroportuale di cui:,640.739,289.066,351.673,"121,7%",,,
,,,,,to al 2021. Depurando l’EBITDA dell’esercizio a confronto,,
Ricavi aviation,457.026,198.090,258.936,"130,7%","dell’iscrizione, per 219,2 milioni di euro, del citato sussi-",,
Ricavi non aviation,183.713,90.976,92.737,"101,9%","dio del Governo italiano, il Margine operativo lordo (EBI-",,
Ricavi per servizi di costruzione,149.099,98.581,50.518,"51,2%","TDA) risulterebbe aumentato di 245,8 milioni di euro.",,
Altri ricavi operativi,10.807,228.595,(217.788),"(95,3%)",Gli accantonamenti per rinnovi e altri stanziamenti ret-,,
,,,,,"tificativi sono pari a 55,7 milioni di euro, in riduzione di",,
TOTALE RICAVI,800.645,616.242,184.403,"29,9%",,,
,,,,,"147,1 milioni di euro rispetto all’esercizio precedente che",,
Costi esterni gestionali,(260.493),(187.745),(72.748),"38,7%",,,
Costi totali dei servizi di costruzione,(149.100),(98.872),(50.228),"50,8%",,,
,,,,,TABELLA 26 – Conto economico complessivo,,
Canoni concessori,(26.352),(10.034),(16.318),"162,6%",,,
Costo del personale netto,(91.650),(67.640),(24.010),"35,5%",Migliaia di euro,20220122,2021
(Accantonamenti) riassorbimenti fondi per rischi ed oneri,1.899,(3.582),5.481,"(153,0%)",UTILE (PERDITA) DELL’ESERCIZIO,30.741,(44.868)
TOTALE COSTI OPERATIVI NETTI,(525.696),(367.873),(157.823),"42,9%",Quota strumenti finanziari derivati di copertura cash flow hedge,100.982,42.134
MARGINE OPERATIVO LORDO (EBITDA),274.949,248.369,26.580,"10,7%",Effetto fiscale,(24.235),(10.112)
"Ammortamenti, svalutazioni e ripristini di valore",(108.844),(103.034),(5.810),"5,6%",ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO RICLASSIFICABILI NEL CONTO,,
,,,,,"ECONOMICO, AL NETTO DELL’EFFETTO FISCALE",76.747,32.022
Accantonamenti per rinnovi e altri stanziamenti rettificativi,(55.746),(202.865),147.119,"(72,5%)",,,
,,,,,Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti,853,(153)
RISULTATO OPERATIVO (EBIT),110.359,(57.530),167.889,"(291,8%)",,,
,,,,,Effetto fiscale,(205),37
Proventi (oneri) finanziari,(64.680),(62.070),(2.610),"4,2%",,,
,,,,,Utili (perdite) da valutazione al fair value delle partecipazioni,0,(13.020)
RISULTATO PRIMA DELLE IMPOSTE DELLE ATTIVITÀ OPERATIVE,,,,,,,
IN FUNZIONAMENTO,45.679,(119.600),165.279,"(138,2%)",ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO CHE NON SARANNO,,
,,,,,"SUCCESSIVAMENTE RICLASSIFICATE NEL CONTO ECONOMICO, AL NETTO DELL’EFFETTO FISCALE",648,(13.136)
Imposte,(14.938),74.732,(89.670),"(120,0%)",,,
,,,,,RICLASSIFICA DELLE ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO NEL CONTO,,
,,,,,ECONOMICO DELL’ESERCIZIO,4.883,3.224
RISULTATO NETTO ATTIVITÀ OPERATIVE IN FUNZIONAMENTO,30.741,(44.868),75.609,"(168,5%)",,,
,,,,,"TOTALE DELLE ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO, AL NETTO",,
Risultato netto attività operative cessate,0,0,0,"0,0%",DELL’EFFETTO FISCALE,82.278,22.110
UTILE (PERDITA) DELL’ESERCIZIO,30.741,(44.868),75.609,"(168,5%)",TOTALE UTILE (PERDITA) COMPLESSIVO,113.019,(22.758)
