Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Milioni di euro,2022,Unnamed: 7
,,,,,,,Sistema aerostazioni est,,"72,9"
5.3.1  Investimenti del Gruppo ADR,,,,,,,Interventi su piste e piazzali,,"4,2"
,,,,,,,Di cui principali:,,
"TABELLA 34 – Investimenti del Gruppo ADR nel 2022, 2021 e 2020",,,,,,,,,
,,,,,,,Sala di controllo unica (APOC),"0,6",
Milioni di euro,2022.0,,2021.0,,2020.0,,Interventi su terminal e moli,,"69,8"
Investimenti concessione aeroportuale,,"144,1",,"105,1",,"98,9",Di cui principali:,,
Altri investimenti materiali ed immateriali,,"29,9",,"24,6",,"20,9",Terminal 3 – ristrutturazione,"41,1",
Totale investimenti,,"173,1",,"129,7",,"119,8","Sviluppo impianti, sistemi ICT ed altri minori",,"26,2"
Interventi di rinnovo16,,"41,1",,"47,6",,"32,1",Di cui principali:,,
TOTALE,,"214,2",,"177,3",,"151,9",Sistemi informativi,"17,6",
,,,,,,,Totale investimenti,,"173,1"
Gli investimenti realizzati nell’esercizio sono relativi,,,,,,,Di cui,,
principalmente ai lavori di realizzazione della nuova in-,,,,,,,,,
,,,,,,,Ultimati,"65,8",
frastruttura aeroportuale denominata Molo A e inaugu-,,,,,,,,,
rata a maggio 2022 che incrementa la capacità mas-,,,,,,,In corso,"107,3",
"sima dello scalo di 6 milioni di passeggeri, nonché alla",,,,,,,Interventi di rinnovo,,"41,1"
prosecuzione dei lavori di ristrutturazione del Terminal,,,,,,,,,
,,,,,,,TOTALE,,"214,2"
