Genere,UdM,2022,Unnamed: 0,2021,Unnamed: 1,2020,Unnamed: 2,2019,Unnamed: 3
DIRIGENTI,%,,"1,7",,"1,7",,"1,7",,1
Donne,%,,"0,4",,"0,3",,"0,3",,"0,2"
Uomini,%,,"1,3",,"1,4",,"1,5",,1
QUADRI,%,,"8,2",,"8,9",,"8,9",,8
Donne,%,,"2,5",,"2,7",,"2,7",,"2,3"
Uomini,%,,"5,7",,"6,2",,"6,2",,5
IMPIEGATI,%,,"55,2",,"55,4",,"55,1",,57
Donne,%,,"25,1",,"24,5",,24,,26
Uomini,%,,"30,1",,"30,9",,"31,1",,30
OPERAI,%,,"34,9",,"34,1",,"34,3",,34
Donne,%,,"10,2",,"9,6",,"10,2",,11
Uomini,%,,"24,7",,"24,5",,"24,1",,23
