Indici di infortunio,UdM,2022,Unnamed: 0,2021,Unnamed: 1,2020,Unnamed: 2,2019,Unnamed: 3,56 Calcolate con l’approccio Location Based.
Numero di infortuni sul lavoro registrabili,n,,97,,126,,62,,212,57 Calcolate con l’approccio Market Based.
,,,,,,,,,,58
Tasso di infortuni sul lavoro registrabili,i,,"18,18",,"32,7",,"18,76",,"38,29",I parziali relativi ai singoli aeroporti corrispondo per FCO a 46.093 e per CIA a 2.312 tCO2.
,,,,,,,,,,59 I parziali relativi ai singoli aeroporti corrispondo per FCO a 41.458 e per CIA a 2.204 tCO .
Numero di infortuni sul lavoro con gravi,,,,,,,,,,2
conseguenze45,n,,0,,1,,3,,0,60 I parziali relativi ai singoli aeroporti corrispondo per FCO a 54.760 e per CIA a 2.642 tCO2.
Tasso di infortuni sul lavoro con gravi,,,,,,,,,,"61 Nello Scope 3 sono state riportate tutte le fonti emissive, ad eccezione del cruise degli aeromobili, in linea con le pratiche del settore aeroportuale."
conseguenze,i,,0,,"0,25",,"0,9",,0,62 I parziali relativi ai singoli aeroporti corrispondo per FCO a 311.668 e per CIA a 63.828 tCO2.
Numero di decessi risultanti da infortuni sul,,,,,,,,,,
lavoro,n,,0,,0,,0,,0,63 I parziali relativi ai singoli aeroporti corrispondo per FCO a 302.518 e per CIA a 45.658 tCO2.
Numero di infortuni in itinere46,n,,43,,2947,,31,,58,64 I parziali relativi ai singoli aeroporti corrispondo per FCO a 1.080.534 e per CIA a 128.025 tCO2.
