Fiumicino,Unnamed: 0,%,"94,56","93,9","93,6","93,8",Componente del valore,UdM,2022,2021,Δ% vs 2021,Unnamed: 1
Ciampino,,%,"5,44","6,1","6,4","6,2",Valore economico generato,€/000,666.959,529.24,,26%
,,,,,,,Valore economico distribuito,€/000,432.895,264.81,,63%
TABELLA 74 - Energia venduta e immessa in rete,,,,,,,Remunerazione dei fornitori73,€/000,163.097,123.301,,32%
,,,,,,,Remunerazione dei dipendenti,€/000,173.572,121.434,,43%
,UdM,,2022,2021,2020,2019,,,,,,
,,,,,,,Remunerazione dei finanziatori,€/000,68.201,62.923,,8%
Totale energia venduta e immessa in rete,,GJ,81.698,8.789,4.357,4.781,,,,,,
,,,,,,,Remunerazione della pubblica amministrazione,€/000,27.992,-42.856,,-165%
,,,,,,,Remunerazione della collettività,€/000,33.0,8.0,,314%
TABELLA 75 - Consumi idrici del Gruppo ADR,,,,,,,,,,,,
,,,,,,,Valore economico trattenuto,€/000,234.064,264.43,,-11%
