Unnamed: 0,Unnamed: 1,TEMI MATERIALI,Unnamed: 2,Unnamed: 3,TEMI MATERIALI.1,Unnamed: 4
,GRI STANDARD,RIFERIMENTO / NOTE / OMISSIONI,,GRI STANDARD,,RIFERIMENTO / NOTE / OMISSIONI
Gestione dei rifiuti,,,Formazione del personale,,,
9.2 Materialità3-3 Gestione delle tematiche materiali,,9.2 Materialità,3-3 Gestione delle tematiche materiali,,,
306-1,,,404-1 Formazione e istruzione,,5.6 Persone9.4 Indicatori di performance GRI,
306-2 Rifiuti,,5.7 Ambiente,,,,
306-3,,9.4 Indicatori di performance GRI,Pari opportunità e Diversity,,,
Emissioni Aeroportuali,,,3-3 Gestione delle tematiche materiali,,9.2 Materialità,
3-3 Gestione delle tematiche materiali,,9.2 Materialità,405-1 Diversità e pari opportunità,,5.6 Persone9.4 Indicatori di performance GRI,
305-1,,,,,,
305-2 Emissioni,,5.7 Ambiente,Coinvolgimento delle comunità,,,
305-3,,9.4 Indicatori di performance GRI,,,,
,,,3-3 Gestione delle tematiche materiali,,9.2 Materialità,
Rumore,,,,,,
,,,203-2 Impatti economici indiretti,,5.9 Ecosistema,
3-3 Gestione delle tematiche materiali,,9.2 Materialità,413-2 Comunità locali,,,
N/A,,5.7 Ambiente,Sviluppo di infrastrutture sostenibili,,,
Economica circolare,,,3-3 Gestione delle tematiche materiali,,9.2 Materialità,
,,,N/A,,2.2 Strategia e obiettivi,
3-3 Gestione delle tematiche materiali,,9.2 Materialità,,,,
,,,Rispetto della regolamentazione,,,
306-1,,,,,,
306-2  Rifiuti,,5.7 Ambiente,,,,
306-3,,9.4 Indicatori di performance GRI,3-3 Gestione delle tematiche materiali,,9.2 Materialità,
Intermodalità e accessibilità,,,N/A,,5.7 Ambiente,
,,,Gestione operazioni aeroportuali,,,
3-3 Gestione delle tematiche materiali,,9.2 Materialità,,,,
,,,3-3 Gestione delle tematiche materiali,,9.2 Materialità,
N/A,,5.7 Ambiente,,,,
,,,,,5.1 Attività di business,
,,,201-1  Performance economiche,,"5.2 Performance economica, patrimoniale e finanziaria",
Ecosistema Biodiversità,,,204-1 Pratiche di approvvigionamento,,,
,,,,,5.9.1 Valore economico generato e distribuito,
3-3 Gestione delle tematiche materiali,,9.2 Materialità,,,,
,,,Anticorruzione e conflitti d’interesse,,,
304-1 Biodiversità,,5.7 Ambiente,3-3 Gestione delle tematiche materiali,,9.2 Materialità,
Airport Security,,,,,Il Gruppo pubblica sul proprio sito ( http://www.ADR.it/policy-,
,,,,,anticorruzione-di-gruppo) le politiche e le comunicazioni in tema,
,,,,,anticorruzione verso partner commerciali. Non sono previste sessioni,
3-3 Gestione delle tematiche materiali,,9.2 Materialità,,,formative ad hoc in materia di anticorruzione dirette ai singoli,
,,,205-2 Anticorruzione,,componenti dell’organo di governo. Il Consiglio di Amministrazione,
